SL NO,DATE,DEVICE ID,MSISDN,SIM IMEI NUMBER,SIM TYPE,STATUS,REGION,BRANCH,BR CODE
23,20.02.2025,861657072374544,915755090638429,8991462160511038445,Vodafone (VI),PINGING,MML BANGALORE,HOSAKOTE,MML0538
24,20.02.2025,861657072372134,915755090643881,8991462160511038460,Vodafone (VI),PINGING,MML BANGALORE,K.SANACHANDRA,MML0671
25,20.02.2025,861657073585155,915755090643886,8991462160511038510,Vodafone (VI),NOT PINGING/RETURNED TO MITS,MML BANGALORE,MYLASANDRA,MML0632
26,20.02.2025,861657073557238,915755090643884,8991462160511038494,Vodafone (VI),PINGING,MML BANGALORE,SUGGANAHALLI,MML0667
27,20.02.2025,861657073557113,915755090643901,8991462160511038668,Vodafone (VI),PINGING,MML BANGALORE,THATHA GUNI,MML0670
28,20.02.2025,861657073557493,915755090643882,8991462160511038478,Vodafone (VI),PINGING,MML BANGALORE,KADABGERE,MML0668
29,20.02.2025,861657073576055,915755090643890,8991462160511038551,Vodafone (VI),PINGING,MML BANGALORE,TEKAL,MML0712
30,20.02.2025,861657072354967,915755090627166,8991462160511040151,Vodafone (VI),NOT PINGING/RETURNED TO MITS,MML BANGALORE,SUNTRAPALAYA,MML0777
31,20.02.2025,861657073573011,915755090643942,8991462160511039070,Vodafone (VI),PINGING,MML BANGALORE,BIDRAHALLI,MML0776
32,20.02.2025,861657072355600,915755090627165,8991462160511040144,Vodafone (VI),PINGING,MML BANGALORE,DIBBURAHALLI,MML0878
33,20.02.2025,861657072371524,915755090643939,8991462160511039047,Vodafone (VI),PINGING,MML BANGALORE,NANDI CROSS,MML0879
34,20.02.2025,861657073577293,915755090643896,8991462160511038619,Vodafone (VI),PINGING,MML BANGALORE,VEERANYAPALAYA,MML0775
35,20.02.2025,861657073577269,915755090643893,8991462160511038585,Vodafone (VI),PINGING,MML BANGALORE,HORAMAVU AGRA,MML0773
36,20.02.2025,861657072347870,915755090643940,8991462160511039054,Vodafone (VI),PINGING,MML BANGALORE,SULEBELE,MML0774
37,20.02.2025,861657073557485,915755090643895,8991462160511038601,Vodafone (VI),PINGING,MML BANGALORE,KOGILU MAIN ROAD,MML0798
38,20.02.2025,861657072354983,915755090627168,8991462160511040177,Vodafone (VI),PINGING,MML BANGALORE,MARALAVADAI,MML0799
39,20.02.2025,861657072348241,915755090643908,8991462160511038734,Vodafone (VI),PINGING,MML BANGALORE,"JK CROSS CHICKABALAPUR,",MML0885
40,20.02.2025,861657073583226,915755090627162,8991462160511040110,Vodafone (VI),PINGING,MML BANGALORE,KOTTAL DINEE,MML0884
41,20.02.2025,861657073575917,915755090643892,8991462160511038577,Vodafone (VI),PINGING,MML BANGALORE,HINDUPUR-PARIGI ROAD,MML0938
42,20.02.2025,861657073562931,915755090643909,8991462160511038742,Vodafone (VI),PINGING,MML BANGALORE,VOKELERI,MML0928
43,20.02.2025,861657073576832,915755090627163,8991462160511040128,Vodafone (VI),PINGING,MML BANGALORE,TUMKUR GATE,MML0770
44,20.02.2025,861657073584513,915755090627164,8991462160511040136,Vodafone (VI),PINGING,MML BANGALORE,GANGONADAHALLI,MML0926
45,20.02.2025,861657073575511,915755090643898,8991462160511038635,Vodafone (VI),PINGING,MML BANGALORE,RAMAPURA,MML0883
46,20.02.2025,861657072362820,915755090643903,8991462160511038684,Vodafone (VI),PINGING,MML BANGALORE,SEEGEHALLI KR PURAM,MML0927
47,20.02.2025,861657073576626,915755090643904,8991462160511038692,Vodafone (VI),PINGING,MML BANGALORE,MUKANDAPALLI,MML0930
48,20.02.2025,861657072377679,915755090643891,8991462160511038569,Vodafone (VI),PINGING,MML BANGALORE,CHILAMATHUR,MML0947
49,20.02.2025,861657072331619,915755090643897,8991462160511038627,Vodafone (VI),PINGING,MML MANGALORE,SHIMOGA VIDYA NAGAR,MML0567
50,20.02.2025,861657072342020,915755090643894,8991462160511038593,Vodafone (VI),PINGING,MML MANGALORE,RIPPONPET,MML0559
51,20.02.2025,861657073556529,5754090184268,8991950912963793059U,Airtel,PINGING,MML HUBLI,RAMGIRI,MML0560
52,20.02.2025,861657073558004,5754090184244,8991950912963793035U,Airtel,PINGING,MML HUBLI,DHARMAPUR,MML0630
53,20.02.2025,861657073585163,5754090184267,8991950912963793058U,Airtel,PINGING,MML HUBLI,YAMANAKANMARDI,MML0550
54,20.02.2025,861657073573334,5754090184220,8991950912963793011U,Airtel,PINGING,MML HUBLI,MARAYAMMANAHALLI,MML0561
55,20.02.2025,861657073576022,5754090184269,8991950912963793060U,Airtel,NOT PINGING/RETURNED TO MITS,MML HUBLI,YELBURGI,MML0627
56,20.02.2025,861657073557030,5754090184262,8991950912963793053U,Airtel,PINGING,MML HUBLI,KANAKAGIRI,MML0664
57,20.02.2025,861657073576139,5754090184234,8991950912963793025U,Airtel,PINGING,MML HUBLI,HUNNUR,MML0663
58,20.02.2025,861657073562923,5754090184265,8991950912963793056U,Airtel,PINGING,MML HUBLI,BELAGUR,MML0782
59,20.02.2025,861657073576923,5754090184232,8991950912963793023U,Airtel,PINGING,MML HUBLI,CHIKERUR,MML0783
60,20.02.2025,861657072377216,5754090184233,8991950912963793024U,Airtel,PINGING,MML HUBLI,KUKNOOR,MML0824
61,20.02.2025,861657073575032,5754090184231,8991950912963793022U,Airtel,NOT PINGING/RETURNED TO MITS,MML HUBLI,MOKA,MML0832
62,20.02.2025,861657073576774,5754090184230,8991950912963793021U,Airtel,PINGING,MML HUBLI,NALLUR,MML0841
63,20.02.2025,861657072374353,5754090184264,8991950912963793055U,Airtel,PINGING,MML HUBLI,SHAMANUR,MML0924
64,20.02.2025,861657073573177,5754090184263,8991950912963793054U,Airtel,PINGING,MML BANGALORE,DODDALADAMARA,MML0540
65,20.02.2025,861657072377950,5754090184229,8991950912963793020U,Airtel,PINGING,MML BANGALORE,DODDALAHALLI,MML0503
66,20.02.2025,861657073574647,5754090184228,8991950912963793019U,Airtel,PINGING,MML HUBLI,SAVALANKA,MML0628
67,20.02.2025,861657073573565,5754090184227,8991950912963793018U,Airtel,PINGING,MML HUBLI,BELAVADI,MML0629
68,20.02.2025,861657073573219,5754090184226,8991950912963793017U,Airtel,PINGING,MML HUBLI,KUDACHI,MML0665
69,20.02.2025,861657073576683,5754090184225,8991950912963793016U,Airtel,PINGING,MML HUBLI,SHINDOLI CROSS SAMBRA ROAD,MML0784
70,20.02.2025,861657072348092,5754090184224,8991950912963793015U,Airtel,PINGING,MML HUBLI,BELLATI,MML0785
71,20.02.2025,861657072356194,5754090184223,8991950912963793014U,Airtel,PINGING,MML BANGALORE,ALIPURA,MML0539
72,20.02.2025,861657072355832,5754090184222,8991950912963793013U,Airtel,PINGING,MML BANGALORE,CHELUR,MML0541
73,20.02.2025,861657072355618,5754090184221,8991950912963793012U,Airtel,PINGING,MML BANGALORE,HOSAKOTE,MML0538
74,20.02.2025,861657072373199,5754090184266,8991950912963793057U,Airtel,PINGING,MML BANGALORE,K.SANACHANDRA,MML0671
75,20.02.2025,861657073584182,5754090184261,8991950912963793052U,Airtel,PINGING,MML BANGALORE,MYLASANDRA,MML0632
76,20.02.2025,861657073585072,5754090184260,8991950912963793051U,Airtel,PINGING,MML BANGALORE,SUGGANAHALLI,MML0667
77,20.02.2025,861657073557501,5754090184259,8991950912963793050U,Airtel,PINGING,MML BANGALORE,THATHA GUNI,MML0670
78,20.02.2025,861657073557428,5754090184258,8991950912963793049U,Airtel,PINGING,MML BANGALORE,KADABGERE,MML0668
79,20.02.2025,862211074187691,5754090184257,8991950912963793048U,Airtel,PINGING,MML BANGALORE,TEKAL,MML0712
80,20.02.2025,864180055857051,5754090184256,8991950912963793047U,Airtel,PINGING,MML BANGALORE,SUNTRAPALAYA,MML0777
81,20.02.2025,861657073557907,5754090184255,8991950912963793046U,Airtel,PINGING,MML BANGALORE,BIDRAHALLI,MML0776
82,20.02.2025,861657073576519,5754090184254,8991950912963793045U,Airtel,PINGING,MML BANGALORE,DIBBURAHALLI,MML0878
83,20.02.2025,861657073576089,5754090184253,8991950912963793044U,Airtel,PINGING,MML BANGALORE,NANDI CROSS,MML0879
84,20.02.2025,861657073576097,5754090184252,8991950912963793043U,Airtel,PINGING,MML BANGALORE,VEERANYAPALAYA,MML0775
85,20.02.2025,862211074189820,5754090184251,8991950912963793042U,Airtel,PINGING,MML BANGALORE,HORAMAVU AGRA,MML0773
86,20.02.2025,861657073576154,5754090184250,8991950912963793041U,Airtel,PINGING,MML BANGALORE,SULEBELE,MML0774
87,20.02.2025,862211074143405,5754090184249,8991950912963793040U,Airtel,PINGING,MML BANGALORE,KOGILU MAIN ROAD,MML0798
88,20.02.2025,862211074168501,5754090184246,8991950912963793037U,Airtel,PINGING,MML BANGALORE,MARALAVADAI,MML0799
89,20.02.2025,861657073574860,5754090184248,8991950912963793039U,Airtel,NOT PINGING/RETURNED TO MITS,MML BANGALORE,"JK CROSS CHICKABALAPUR,",MML0885
90,20.02.2025,861657073573243,5754090184247,8991950912963793038U,Airtel,PINGING,MML BANGALORE,KOTTAL DINEE,MML0884
91,20.02.2025,861657073557998,5754090184243,8991950912963793034U,Airtel,PINGING,MML BANGALORE,HINDUPUR-PARIGI ROAD,MML0938
92,20.02.2025,861657073585148,5754090184242,8991950912963793033U,Airtel,PINGING,MML BANGALORE,VOKELERI,MML0928
93,20.02.2025,861657073557170,5754090184241,8991950912963793032U,Airtel,PINGING,MML BANGALORE,TUMKUR GATE,MML0770
94,20.02.2025,861657073556982,5754090184239,8991950912963793030U,Airtel,PINGING,MML BANGALORE,GANGONADAHALLI,MML0926
95,20.02.2025,864180056095941,5754090184240,8991950912963793031U,Airtel,PINGING,MML VIJAYAWADA,MACHERLA,MML0936
96,20.02.2025,861657073576113,5754090184238,8991950912963793029U,Airtel,PINGING,MML BANGALORE,SEEGEHALLI KR PURAM,MML0927
97,20.02.2025,861657073562014,5754090184237,8991950912963793028U,Airtel,PINGING,MML BANGALORE,MUKANDAPALLI,MML0930
98,20.02.2025,861657073569753,5754090184245,8991950912963793036U,Airtel,PINGING,MML BANGALORE,CHILAMATHUR,MML0947
99,20.02.2025,861657073583234,5754090184236,8991950912963793027U,Airtel,PINGING,MML BANGALORE,RAMAPURA,MML0883
100,20.02.2025,861657072346229,5754090184235,8991950912963793026U,Airtel,PINGING,MML MANGALORE,AGRAGARA MYSORE,MML0657
101,24.02.2025,861657072374536,915755090643953,8991462160511039187,Vodafone (VI),PINGING,MML TIRUPATI,ANAGALLU,MML0659
102,24.02.2025,861657073574662,915755090643962,8991462160511039278,Vodafone (VI),PINGING,MML TIRUPATI,PENUMURU,MML0873
103,24.02.2025,861657073575081,915755090643950,8991462160511039153,Vodafone (VI),PINGING,MML TIRUPATI,NORTH RAJUPALEM,MML0831
104,24.02.2025,861657073582889,915755090643960,8991462160511039252,Vodafone (VI),PINGING,MML MANGALORE,GADDIGE,MML0794
105,24.02.2025,861657072355816,915755090643961,8991462160511039260,Vodafone (VI),PINGING,MML MANGALORE,MYSORE KOVEMPU NAGAR,MML0830
106,24.02.2025,861657073576816,915755090643951,8991462160511039161,Vodafone (VI),PINGING,MML MANGALORE,BESAGARAHALLI,MML0840
107,24.02.2025,861657072356897,915755090643955,8991462160511039203,Vodafone (VI),PINGING,MML MANGALORE,HD KOTE HAND POST,MML0714
108,24.02.2025,861657072377935,915755090643934,8991462160511038999,Vodafone (VI),PINGING,MML MANGALORE,SRIRAMPUR,MML0715
109,24.02.2025,861657072350577,915755090643927,8991462160511038924,Vodafone (VI),PINGING,MML MANGALORE,BOGADDI SECOND STAGE,MML0792
110,24.02.2025,861657073557949,915755090643928,8991462160511038932,Vodafone (VI),PINGING,MML MANGALORE,HOLENARASIPURAM,MML0673
111,24.02.2025,861657073585189,915755090643929,8991462160511038940,Vodafone (VI),PINGING,MML VIJAYAWADA,GUNTUR PONNURU,MML0935
112,24.02.2025,861657072355311,915755090643930,8991462160511038957,Vodafone (VI),PINGING,MML TIRUPATI,ROMPICHERLA,MML0939
113,24.02.2025,861657073573417,915755090643911,8991462160511038767,Vodafone (VI),PINGING,MML MANGALORE,NT SHIMOGA ROAD,MML0635
114,24.02.2025,861657073573367,915755090643914,8991462160511038791,Vodafone (VI),PINGING,MML KURNOOL,ANANTHAPURAM TAPOVANAM,MML0423
115,24.02.2025,861657073574639,915755090643924,8991462160511038890,Vodafone (VI),PINGING,MML MANGALORE,KADUR AFMC ROAD,MML0984
116,24.02.2025,861657072372332,915755090643925,8991462160511038908,Vodafone (VI),PINGING,MML MANGALORE,MADDUR MALLAVI,MML0887
117,24.02.2025,861657072371912,915755090643915,8991462160511038809,Vodafone (VI),PINGING,MML TIRUPATI,YERPEDU,MML0875
118,24.02.2025,861657073576105,915755090643923,8991462160511038882,Vodafone (VI),PINGING,MML MANGALORE,RAJ KUMAR ROAD,MML0717
119,24.02.2025,861657073574902,915755090643922,8991462160511038874,Vodafone (VI),PINGING,MML TIRUPATI,SYDAPURAM,MML0545
120,24.02.2025,861657073557543,915755090643920,8991462160511038858,Vodafone (VI),PINGING,MML TIRUPATI,YADAMARAI,MML0872
121,24.02.2025,861657073573268,915755090643918,8991462160511038833,Vodafone (VI),PINGING,MML TIRUPATI,KOTHURU,MML0876
122,24.02.2025,861657072337558,915755090643919,8991462160511038841,Vodafone (VI),PINGING,MML TIRUPATI,THAMBALAPALLI,MML0661
123,24.02.2025,861657073561933,915755090643913,8991462160511038783,Vodafone (VI),PINGING,MML TIRUPATI,LAKIREDDIPALLI,MML0836
124,24.02.2025,861657073572898,915755090643921,8991462160511038866,Vodafone (VI),PINGING,MML TIRUPATI,VEERABALLI,MML0656
125,24.02.2025,861657073569795,915755090643906,8991462160511038718,Vodafone (VI),PINGING,MML VIJAYAWADA,REDDIGUDEM,MML0562
126,24.02.2025,861657073576477,915755090643902,8991462160511038676,Vodafone (VI),PINGING,MML MANGALORE,RAMAKRISHNA NAGAR,MML0793
127,24.02.2025,861657073556883,915755090643912,8991462160511038775,Vodafone (VI),PINGING,MML TIRUPATI,CHINNAMANDEM,MML0660
128,24.02.2025,861657073556867,915755090643933,8991462160511038981,Vodafone (VI),PINGING,MML MANGALORE,HOOTAGALLI,MML0716
129,24.02.2025,861657073557915,915755090643916,8991462160511038817,Vodafone (VI),PINGING,MML KURNOOL,YENUGONDA,MML0795
130,24.02.2025,861657073557311,915755090643932,8991462160511038973,Vodafone (VI),PINGING,MML MANGALORE,CHICKMANAGALORE K M ROAD,MML0787
131,24.02.2025,861657072335404,915755090643931,8991462160511038965,Vodafone (VI),PINGING,MML MANGALORE,SHARAVANABALAKONDA,MML0666
132,24.02.2025,861657073573029,915755090643935,8991462160511039005,Vodafone (VI),PINGING,MML MANGALORE,VIJAYANAGAR 4TH -STAGE,MML0643
133,24.02.2025,861657072356483,915755090643885,8991462160511038502,Vodafone (VI),PINGING,MML TIRUPATI,IRALA,MML0920
134,24.02.2025,861657072375558,915755090643954,8991462160511039195,Vodafone (VI),PINGING,MML TIRUPATI,DORNALA,MML0877
135,24.02.2025,861657073557634,915755090643956,8991462160511039211,Vodafone (VI),PINGING,MML MANGALORE,SHIMOGAGADIKOPPA CIRCLE,MML0786
136,24.02.2025,861657073582798,915755090643959,8991462160511039245,Vodafone (VI),PINGING,MML MANGALORE,LINGADAHALLI MAIN ROAD TARIKIRE,MML0788
137,24.02.2025,861657073584422,915755090643957,8991462160511039229,Vodafone (VI),PINGING,MML MANGALORE,INDIRAGANDHI CIRCLE,MML0886
138,24.02.2025,861657073557824,915755090643958,8991462160511039237,Vodafone (VI),PINGING,MML MANGALORE,VIJAYANAGAR 3RD STAGE,MML0642
139,24.02.2025,861657073558657,915755090643952,8991462160511039179,Vodafone (VI),PINGING,MML MANGALORE,SALAIGRAMA,MML0672
140,24.02.2025,861657073573458,915755090643910,8991462160511038759,Vodafone (VI),PINGING,MML MANGALORE,UPPALLI CIRCLE,MML0789
141,24.02.2025,861657073573425,915755090643883,8991462160511038486,Vodafone (VI),PINGING,MML TIRUPATI,BRAHMAMGARIMATAM,MML0934
142,24.02.2025,861657073557097,915755090643888,8991462160511038536,Vodafone (VI),PINGING,MML TIRUPATI,VIRAPA NAYANI PALLE,MML0839
143,24.02.2025,861657073572914,915755090643887,8991462160511038528,Vodafone (VI),PINGING,MML MANGALORE,SUNTIGOPPA,MML0929
144,24.02.2025,861657073584984,915755090643936,8991462160511039013,Vodafone (VI),PINGING,MML TIRUPATI,PACHIKAPALAM,MML0837
145,24.02.2025,861657073584943,915755090643889,8991462160511038544,Vodafone (VI),PINGING,MML MANGALORE,AGRAGARA MYSORE,MML0657
146,24.02.2025,861657072356830,915755090643899,8991462160511038643,Vodafone (VI),PINGING,MML CHENNAI,ANANTHAPURAM,MML0552
147,24.02.2025,861657072330041,915755090643907,8991462160511038726,Vodafone (VI),PINGING,MML TIRUPATI,KALLUR,MML0874
148,24.02.2025,861657073574613,915755090643937,8991462160511039021,Vodafone (VI),PINGING,MML TIRUPATI,PULLAMPETA,MML0838
149,24.02.2025,861657073576782,915755090643917,8991462160511038825,Vodafone (VI),PINGING,MML TIRUPATI,VONTIMITTA,MML0658
150,24.02.2025,861657073574829,915755090643926,8991462160511038916,Vodafone (VI),PINGING,MML TIRUPATI,MADDIPADU,MML0835
151,24.02.2025,861657073569761,5754090184271,8991950912963793062U,Airtel,PINGING,MML CHENNAI,CHINNAPPEMPATTI,MML0662
152,24.02.2025,861657073585171,5754090184280,8991950912963793071U,Airtel,PINGING,MML MANGALORE,SALAIGRAMA,MML0672
153,24.02.2025,861657073573144,5754090184270,8991950912963793061U,Airtel,PINGING,MML MANGALORE,HOOTAGALLI,MML0716
154,24.02.2025,861657072344570,5754090184272,8991950912963793063U,Airtel,PINGING,MML MANGALORE,INDIRAGANDHI CIRCLE,MML0886
155,24.02.2025,861657073577053,5754090184275,8991950912963793066U,Airtel,PINGING,MML MANGALORE,NT SHIMOGA ROAD,MML0635
156,24.02.2025,861657073559952,5754090184273,8991950912963793064U,Airtel,PINGING,MML MANGALORE,LINGADAHALLI MAIN ROAD TARIKIRE,MML0788
157,24.02.2025,861657072356236,5754090184276,8991950912963793067U,Airtel,PINGING,MML MANGALORE,HD KOTE HAND POST,MML0714
158,24.02.2025,861657072355279,5754090184278,8991950912963793069U,Airtel,PINGING,MML MANGALORE,GADDIGE,MML0794
159,24.02.2025,861657073576543,5754090184277,8991950912963793068U,Airtel,PINGING,MML MANGALORE,BESAGARAHALLI,MML0840
160,24.02.2025,861657073573193,5754090184304,8991950912963793095U,Airtel,PINGING,MML TIRUPATI,BRAHMAMGARIMATAM,MML0934
161,24.02.2025,861657072355865,5754090184299,8991950912963793090U,Airtel,PINGING,MML TIRUPATI,ROMPICHERLA,MML0939
162,24.02.2025,861657073573227,5754090184306,8991950912963793097U,Airtel,PINGING,MML MANGALORE,SHARAVANABALAKONDA,MML0666
163,24.02.2025,861657073575412,5754090184293,8991950912963793084U,Airtel,PINGING,MML TIRUPATI,IRALA,MML0920
164,24.02.2025,861657072374189,5754090184297,8991950912963793088U,Airtel,PINGING,MML TIRUPATI,NORTH RAJUPALEM,MML0831
165,24.02.2025,861657073574605,5754090184294,8991950912963793085U,Airtel,PINGING,MML TIRUPATI,THAMBALAPALLI,MML0661
166,24.02.2025,861657073576501,5754090184292,8991950912963793083U,Airtel,PINGING,MML TIRUPATI,VIRAPA NAYANI PALLE,MML0839
167,24.02.2025,861657072356855,5754090184300,8991950912963793091U,Airtel,PINGING,MML MANGALORE,RIPPONPET,MML0559
168,24.02.2025,861657073573151,5754090184295,8991950912963793086U,Airtel,PINGING,MML TIRUPATI,PULLAMPETA,MML0838
169,24.02.2025,861657073556545,5754090184290,8991950912963793081U,Airtel,PINGING,MML TIRUPATI,DORNALA,MML0877
170,24.02.2025,861657072372274,5754090184298,8991950912963793089U,Airtel,PINGING,MML MANGALORE,KADUR AFMC ROAD,MML0984
171,24.02.2025,861657072377901,5754090184289,8991950912963793080U,Airtel,PINGING,MML CHENNAI,SEETHANJERI,MML0639
172,24.02.2025,861657072347516,5754090184283,8991950912963793074U,Airtel,PINGING,MML MANGALORE,CHICKMANAGALORE K M ROAD,MML0787
173,24.02.2025,861657073585122,5754090184305,8991950912963793096U,Airtel,PINGING,MML TIRUPATI,VONTIMITTA,MML0658
174,24.02.2025,861657073581352,5754090184279,8991950912963793070U,Airtel,PINGING,MML CHENNAI,ANANTHAPURAM,MML0552
175,24.02.2025,861657073557436,5754090184288,8991950912963793079U,Airtel,PINGING,MML MANGALORE,BOGADDI SECOND STAGE,MML0792
176,24.02.2025,861657072378214,5754090184287,8991950912963793078U,Airtel,PINGING,MML TIRUPATI,PACHIKAPALAM,MML0837
177,24.02.2025,861657073574688,5754090184291,8991950912963793082U,Airtel,PINGING,MML TIRUPATI,YERPEDU,MML0875
178,24.02.2025,861657073557980,5754090184302,8991950912963793093U,Airtel,PINGING,MML TIRUPATI,PENUMURU,MML0873
179,24.02.2025,861657073573201,5754090184301,8991950912963793092U,Airtel,PINGING,MML TIRUPATI,CHINNAMANDEM,MML0660
180,24.02.2025,861657073584174,5754090184282,8991950912963793073U,Airtel,PINGING,MML MANGALORE,SHIMOGA VIDYA NAGAR,MML0567
181,24.02.2025,861657072342392,5754090184303,8991950912963793094U,Airtel,PINGING,MML TIRUPATI,ANAGALLU,MML0659
182,24.02.2025,861657072378412,5754090184281,8991950912963793072U,Airtel,PINGING,MML MANGALORE,SUNTIGOPPA,MML0929
183,24.02.2025,861657073571825,5754090184285,8991950912963793076U,Airtel,PINGING,MML MANGALORE,RAMAKRISHNA NAGAR,MML0793
184,24.02.2025,861657073575859,5754090184286,8991950912963793077U,Airtel,PINGING,MML TIRUPATI,MADDIPADU,MML0835
185,24.02.2025,861657073569779,5754090184284,8991950912963793075U,Airtel,PINGING,MML CHENNAI,BODIPATTI,MML0558
186,24.02.2025,861657073574936,5754090184296,8991950912963793087U,Airtel,PINGING,MML TIRUPATI,KOTHURU,MML0876
187,24.02.2025,861657073562873,5754090184274,8991950912963793065U,Airtel,PINGING,MML MANGALORE,UPPALLI CIRCLE,MML0789
188,24.02.2025,861657073569837,5754090184317,8991950912963793108U,Airtel,PINGING,MML MANGALORE,SRIRAMPUR,MML0715
189,24.02.2025,861657073577061,5754090184307,8991950912963793098U,Airtel,PINGING,MML MANGALORE,VIJAYANAGAR 4TH -STAGE,MML0643
190,24.02.2025,861657072351773,5754090184311,8991950912963793102U,Airtel,PINGING,MML MANGALORE,MADDUR MALLAVI,MML0887
191,24.02.2025,861657072355873,5754090184308,8991950912963793099U,Airtel,PINGING,MML TIRUPATI,LAKIREDDIPALLI,MML0836
192,24.02.2025,861657073574621,5754090184314,8991950912963793105U,Airtel,PINGING,MML MANGALORE,SHIMOGAGADIKOPPA CIRCLE,MML0786
193,24.02.2025,861657073556966,5754090184313,8991950912963793104U,Airtel,PINGING,MML MANGALORE,HOLENARASIPURAM,MML0673
194,24.02.2025,861657073557527,5754090184318,8991950912963793109U,Airtel,PINGING,MML MANGALORE,MYSORE KOVEMPU NAGAR,MML0830
195,24.02.2025,861657073579026,5754090184319,8991950912963793110U,Airtel,PINGING,MML TIRUPATI,SYDAPURAM,MML0545
196,24.02.2025,861657073583556,5754090184310,8991950912963793101U,Airtel,PINGING,MML MANGALORE,RAJ KUMAR ROAD,MML0717
197,24.02.2025,861657073573441,5754090184316,8991950912963793107U,Airtel,PINGING,MML TIRUPATI,KALLUR,MML0874
198,24.02.2025,861657073579588,5754090184315,8991950912963793106U,Airtel,PINGING,MML MANGALORE,VIJAYANAGAR 3RD STAGE,MML0642
199,24.02.2025,861657073575016,5754090184312,8991950912963793103U,Airtel,PINGING,MML TIRUPATI,VEERABALLI,MML0656
200,24.02.2025,861657073575057,5754090184309,8991950912963793100U,Airtel,PINGING,MML TIRUPATI,YADAMARAI,MML0872
201,25-02-2025,861657073576717,915755090643970,8991462160511039351,Vodafone,PINGING,MML HYDERABAD,MORTHAD,MML0746
202,25-02-2025,861657073557709,915755090643968,8991462160511039336,Vodafone,PINGING,MML CHENNAI,BODIPATTI,MML0558
203,25-02-2025,861657073557287,915755090643969,8991462160511039344,Vodafone,PINGING,MML HYDERABAD,NARKETPALLY,MML0652
204,25-02-2025,861657072352409,915755090625617,8991462160511039658,Vodafone,PINGING,MML GULBURGA,SAIDAPUR,MML0626
205,25-02-2025,861657072353068,915755090643971,8991462160511039369,Vodafone,PINGING,MML VIJAYAWADA,TENALI CHENCHPETA,MML0564
206,25-02-2025,861657072332682,915755090643938,8991462160511039039,Vodafone (VI),PINGING,MML KURNOOL,ANANTHAPUR GOOTY ROAD,MML0888
207,25-02-2025,861657073557683,915755090643905,8991462160511038700,Vodafone,PINGING,MML VIJAYAWADA,NAGAYALAKA,MML0833
